标题,价格(元/月),区域,户型,面积(㎡),朝向,详情链接,驾车距离,驾车时间,公交时间,步行距离,步行时间,通勤时间(分钟),价格得分,通勤得分,面积得分,性价比得分,纬度,经度
整租·骋望珺玺 3室2厅 南,1800,江南区-五一路-骋望珺玺,3室2厅2卫,84.0,南,https://nn.zu.ke.com/zufang/NN2061010309283315712.html,9.7公里,21分钟,50分钟,8.4公里,112分钟,50.0,0.9844694773461443,0.5851063829787234,0.026277654332914693,63.3,22.823072,108.256689
整租·中海哈罗学府 3室2厅 南,1800,邕宁区-龙岗-中海哈罗学府,3室2厅2卫,97.0,南,https://nn.zu.ke.com/zufang/NN2042458285893746688.html,19.9公里,44分钟,76分钟,19.4公里,258分钟,76.0,0.9844694773461443,0.30851063829787234,0.031301323543618975,52.3,22.765067,108.470536
整租·广西壮族自治区疾病预防控制中心宿舍区 4室2厅 南,2200,青秀区-星湖-广西壮族自治区疾病预防控制中心宿舍区,4室2厅2卫,123.5,南,https://nn.zu.ke.com/zufang/NN2002335869402349568.html,3.6公里,12分钟,34分钟,3.0公里,40分钟,34.0,0.9803280046384494,0.7553191489361702,0.041541880011593084,70.3,22.810124,108.365121
整租·龙滩苑 3室2厅 南,4500,青秀区-东盟商务区-龙滩苑,3室2厅2卫,141.0,南,https://nn.zu.ke.com/zufang/NN2036798560841760768.html,8.1公里,33分钟,24分钟,7.6公里,102分钟,24.0,0.956514536569204,0.8617021276595744,0.048304511641387306,73.7,22.811363,108.39058
整租·君华•锦云 4室2厅 北,2500,邕宁区-龙岗-君华•锦云,4室2厅2卫,125.0,北,https://nn.zu.ke.com/zufang/NN2041844326283083776.html,18.3公里,47分钟,67分钟,18.1公里,241分钟,67.0,0.9772219001076783,0.40425531914893614,0.04212153415128973,56.1,22.782457,108.478605
整租·大唐盛世观湖 4室2厅 南,2000,邕宁区-龙岗-大唐盛世观湖,4室2厅2卫,126.0,南,https://nn.zu.ke.com/zufang/NN2004846303204343808.html,20.4公里,44分钟,87分钟,19.8公里,264分钟,87.0,0.9823987409922968,0.19148936170212766,0.04250797024442083,47.8,22.768962,108.477384
整租·永凯春晖花园西C区 3室2厅 南,2400,青秀区-凤岭北-永凯春晖花园西C区,3室2厅2卫,110.0,南,https://nn.zu.ke.com/zufang/NN2049404082161975296.html,8.1公里,35分钟,30分钟,8.0公里,107分钟,30.0,0.978257268284602,0.7978723404255319,0.03632499275432326,71.8,22.817687,108.389773
整租·五象澜庭府锦苑 3室2厅 东南/南,2200,良庆区-五象湖-五象澜庭府锦苑,3室2厅2卫,98.0,,https://nn.zu.ke.com/zufang/NN2035310786246606848.html,15.3公里,43分钟,46分钟,14.6公里,194分钟,46.0,0.9803280046384494,0.6276595744680851,0.03168775963675007,65.0,22.730975,108.397977
整租·恒悦居 3室2厅 南/北,1700,青秀区-仙葫-恒悦居,3室2厅2卫,95.0,,https://nn.zu.ke.com/zufang/NN2018931266379841536.html,21.1公里,49分钟,60分钟,14.6公里,195分钟,60.0,0.985504845523068,0.4787234042553192,0.030528451357356778,59.2,22.765457,108.495767
整租·万科紫台 4室3厅 南,10500,良庆区-玉洞-万科紫台,4室3厅3卫,175.0,南,https://nn.zu.ke.com/zufang/NN2050158496984334336.html,11.7公里,40分钟,45分钟,10.8公里,145分钟,45.0,0.8943924459537812,0.6382978723404256,0.06144333880784465,62.5,22.751814,108.377239
整租·宏桂东盛 3室2厅 南,2300,青秀区-凤岭北-宏桂东盛,3室2厅2卫,100.0,南,https://nn.zu.ke.com/zufang/NN1979508646932905984.html,11.1公里,39分钟,50分钟,10.6公里,141分钟,50.0,0.9792926364615258,0.5851063829787234,0.032460631823012266,63.2,22.823452,108.413969
整租·龙光世纪中心 3室1厅 南,8690,青秀区-东盟商务区-龙光世纪中心,3室1厅1卫,133.7,南,https://nn.zu.ke.com/zufang/NN2056689744808509440.html,8.7公里,41分钟,27分钟,8.7公里,116分钟,27.0,0.9131326099561003,0.8297872340425532,0.045483528161530284,70.6,22.806844,108.398213
整租·南宁市南湖公务员住宅小区 4室2厅 南,3500,青秀区-青秀万达-南宁市南湖公务员住宅小区,4室2厅2卫,135.0,南,https://nn.zu.ke.com/zufang/NN2051552580588273664.html,5.7公里,25分钟,28分钟,5.6公里,75分钟,28.0,0.9668682183384412,0.8191489361702128,0.04598589508260072,72.4,22.824008,108.366342
整租·东长小区 3室2厅 东南,2600,青秀区-东葛路-东长小区,3室2厅2卫,140.0,东南,https://nn.zu.ke.com/zufang/NN1976491680643153920.html,4.6公里,20分钟,28分钟,4.5公里,60分钟,28.0,0.9761865319307546,0.8191489361702128,0.04791807554825621,72.8,22.830507,108.358661
整租·君华•锦云 4室2厅 东南,1600,邕宁区-龙岗-君华•锦云,4室2厅2卫,99.0,东南,https://nn.zu.ke.com/zufang/NN2054132946746474496.html,18.3公里,48分钟,67分钟,18.1公里,241分钟,67.0,0.9865402136999917,0.40425531914893614,0.03207419572988117,56.3,22.782457,108.478605
整租·广西区糖业供销公司宿舍 3室2厅 东南,2650,青秀区-金湖-广西区糖业供销公司宿舍,3室2厅2卫,113.75,东南,https://nn.zu.ke.com/zufang/NN1949691746606645248.html,6.0公里,31分钟,23分钟,6.2公里,83分钟,23.0,0.9756688478422927,0.8723404255319149,0.037774128103564876,74.7,22.814849,108.285958
整租·万科金域中央一期 3室2厅 南,2400,良庆区-玉洞-万科金域中央一期,3室2厅2卫,108.35,南,https://nn.zu.ke.com/zufang/NN2056980853338144768.html,11.2公里,39分钟,45分钟,10.7公里,143分钟,45.0,0.978257268284602,0.6382978723404256,0.03568737320065694,65.4,22.7532,108.378885
整租·恒大悦龙台 3室2厅 南,1700,邕宁区-龙岗-恒大悦龙台,3室2厅1卫,92.0,南,https://nn.zu.ke.com/zufang/NN1915354844294545408.html,15.9公里,39分钟,73分钟,16.1公里,215分钟,73.0,0.985504845523068,0.3404255319148936,0.029369143077963483,53.6,22.768367,108.446248
整租·和美春天 4室2厅 南,2800,青秀区-琅东-和美春天,4室2厅2卫,143.39,南,https://nn.zu.ke.com/zufang/NN2057761546292953088.html,11.5公里,36分钟,42分钟,11.3公里,150分钟,42.0,0.9741157955769072,0.6702127659574468,0.04922809390397063,66.8,22.80571,108.420736
整租·万科公望 4室2厅 南,2500,邕宁区-龙岗-万科公望,4室2厅2卫,121.0,南,https://nn.zu.ke.com/zufang/NN2019260883909214208.html,20.9公里,44分钟,93分钟,18.7公里,250分钟,93.0,0.9772219001076783,0.1276595744680851,0.04057578977876534,45.0,22.79239,108.476986
整租·龙光世纪中心 4室1厅 南,13800,青秀区-东盟商务区-龙光世纪中心,4室1厅0卫,195.0,南,https://nn.zu.ke.com/zufang/NN2036067041575698432.html,8.7公里,41分钟,27分钟,8.7公里,116分钟,27.0,0.8602252961152986,0.8297872340425532,0.06917206067046662,69.0,22.806844,108.398213
整租·印象·愉景湾 4室2厅 东南,1200,良庆区-五象湖-印象 - 愉景湾,4室2厅2卫,110.0,东南,https://nn.zu.ke.com/zufang/NN1960547204724686848.html,20.9公里,49分钟,79分钟,19.6公里,261分钟,79.0,0.9906816864076866,0.2765957446808511,0.03632499275432326,51.4,22.682391,108.398902
整租·万科金域中央一期 3室2厅 南,2400,良庆区-玉洞-万科金域中央一期,3室2厅2卫,108.35,南,https://nn.zu.ke.com/zufang/NN2056980853338144768.html,11.2公里,40分钟,45分钟,10.7公里,143分钟,45.0,0.978257268284602,0.6382978723404256,0.03568737320065694,65.4,22.7532,108.378885
整租·盘龙居小区 3室2厅 南/北,2400,青秀区-凤岭北-盘龙居小区,3室2厅2卫,134.0,,https://nn.zu.ke.com/zufang/NN2052717367993040896.html,8.6公里,32分钟,46分钟,7.7公里,103分钟,46.0,0.978257268284602,0.6276595744680851,0.04559945898946962,65.1,22.826909,108.387457
整租·凤岭名园 4室2厅 北,3500,青秀区-凤岭北-凤岭名园,4室2厅2卫,148.0,北,https://nn.zu.ke.com/zufang/NN2043577324833603584.html,14.6公里,37分钟,50分钟,11.0公里,147分钟,50.0,0.9668682183384412,0.5851063829787234,0.05100956429330499,63.1,22.827164,108.419356
整租·霖峰壹號2组团 3室2厅 东南,3000,青秀区-凤岭北-霖峰壹號2组团,3室2厅2卫,89.0,东南,https://nn.zu.ke.com/zufang/NN2046826424920178688.html,12.5公里,34分钟,44分钟,8.5公里,113分钟,44.0,0.9720450592230597,0.648936170212766,0.028209834798570185,65.4,22.830604,108.397707
整租·五象澜庭府锦苑 3室2厅 南/北,1900,良庆区-五象湖-五象澜庭府锦苑,3室2厅2卫,98.0,,https://nn.zu.ke.com/zufang/NN2030230143565299712.html,15.3公里,44分钟,46分钟,14.6公里,194分钟,46.0,0.9834341091692206,0.6276595744680851,0.03168775963675007,65.1,22.730975,108.397977
整租·联发·尚品 3室2厅 南,1500,青秀区-仙葫-联发 - 尚品,3室2厅1卫,98.0,南,https://nn.zu.ke.com/zufang/NN2048417946761428992.html,14.4公里,44分钟,60分钟,14.1公里,188分钟,60.0,0.9875755818769154,0.4787234042553192,0.03168775963675007,59.3,22.801284,108.449327
整租·龙光·君御华府 2室1厅 南,3500,青秀区-凤岭北-龙光 - 君御华府,2室1厅1卫,42.0,南,https://nn.zu.ke.com/zufang/NN2049358450688786432.html,7.7公里,33分钟,38分钟,7.1公里,95分钟,38.0,0.9668682183384412,0.7127659574468085,0.01004733842140856,67.4,22.821526,108.381147
整租·港保苑 2室2厅 西,1800,良庆区-五象核心区-港保苑,2室2厅1卫,91.0,西,https://nn.zu.ke.com/zufang/NN2046231629654917120.html,12.4公里,37分钟,44分钟,11.6公里,155分钟,44.0,0.9844694773461443,0.648936170212766,0.028982706984832383,65.9,22.763875,108.397736
整租·金科博翠山 3室2厅 南,2000,良庆区-玉洞-金科博翠山,3室2厅2卫,98.65,南,https://nn.zu.ke.com/zufang/NN1930217976896684032.html,13.4公里,39分钟,48分钟,13.0公里,174分钟,48.0,0.9823987409922968,0.6063829787234043,0.03193894309728529,64.2,22.729995,108.355092
整租·大唐盛世观湖 4室2厅 南,1700,邕宁区-龙岗-大唐盛世观湖,4室2厅2卫,112.0,南,https://nn.zu.ke.com/zufang/NN1897554114313715712.html,20.4公里,45分钟,87分钟,19.8公里,264分钟,87.0,0.985504845523068,0.19148936170212766,0.03709786494058545,47.8,22.768928,108.478524
整租·华润二十四城 3室2厅 南,1900,良庆区-五象湖-华润二十四城,3室2厅2卫,93.0,南,https://nn.zu.ke.com/zufang/NN2045492100199350272.html,15.3公里,44分钟,45分钟,14.4公里,192分钟,45.0,0.9834341091692206,0.6382978723404256,0.02975557917109458,65.5,22.724302,108.386519
整租·华龙苑小区 3室2厅 南,2500,青秀区-青秀万达-华龙苑小区,3室2厅2卫,120.0,南,https://nn.zu.ke.com/zufang/NN1932644620349472768.html,6.4公里,26分钟,38分钟,5.3公里,71分钟,38.0,0.9772219001076783,0.7127659574468085,0.04018935368563424,68.4,22.833016,108.362193
整租·荣和大地二组团 6室0厅 东南,2400,青秀区-凤岭北-荣和大地二组团,6室0厅2卫,88.0,东南,https://nn.zu.ke.com/zufang/NN2002299990029893632.html,10.8公里,34分钟,48分钟,9.5公里,127分钟,48.0,0.978257268284602,0.6063829787234043,0.02782339870543909,63.9,22.828629,108.403309
整租·华龙苑小区 3室2厅 南,2500,青秀区-青秀万达-华龙苑小区,3室2厅2卫,120.0,南,https://nn.zu.ke.com/zufang/NN1932644620349472768.html,6.4公里,26分钟,38分钟,5.3公里,71分钟,38.0,0.9772219001076783,0.7127659574468085,0.04018935368563424,68.4,22.833016,108.362193
整租·金科博翠山 3室2厅 南,1700,良庆区-玉洞-金科博翠山,3室2厅2卫,98.65,南,https://nn.zu.ke.com/zufang/NN1988151077739954176.html,13.4公里,39分钟,48分钟,13.0公里,174分钟,48.0,0.985504845523068,0.6063829787234043,0.03193894309728529,64.3,22.729995,108.355092
整租·中房翡翠园二期 3室2厅 南,2500,青秀区-琅东-中房翡翠园二期,3室2厅2卫,100.0,南,https://nn.zu.ke.com/zufang/NN2052983843085877248.html,10.5公里,34分钟,35分钟,10.4公里,138分钟,35.0,0.9772219001076783,0.7446808510638298,0.032460631823012266,69.5,22.804544,108.415486
整租·虹桥新城 1室1厅 南,1100,兴宁区-兴宁东-虹桥新城,1室1厅1卫,43.0,南,https://nn.zu.ke.com/zufang/NN2056666691865149440.html,13.4公里,36分钟,45分钟,9.3公里,124分钟,45.0,0.9917170545846102,0.6382978723404256,0.010433774514539657,65.4,22.859505,108.38732
整租·印象·愉景湾 4室2厅 南,1500,良庆区-五象湖-印象 - 愉景湾,4室2厅2卫,109.69,南,https://nn.zu.ke.com/zufang/NN2035558161670209536.html,20.9公里,49分钟,79分钟,19.6公里,261分钟,79.0,0.9875755818769154,0.2765957446808511,0.03620519756545261,51.3,22.682391,108.398902
整租·威宁青运村 3室2厅 东南,2400,良庆区-五象核心区-威宁青运村,3室2厅2卫,103.0,东南,https://nn.zu.ke.com/zufang/NN2054081078318071808.html,12.3公里,41分钟,51分钟,12.0公里,161分钟,51.0,0.978257268284602,0.574468085106383,0.033619940102405564,62.8,22.751056,108.392038
整租·保利·童心缘 1室1厅 南,2000,青秀区-凤岭北-保利 - 童心缘,1室1厅1卫,50.95,南,https://nn.zu.ke.com/zufang/NN1955866759810514944.html,13.9公里,37分钟,54分钟,10.3公里,137分钟,54.0,0.9823987409922968,0.5425531914893617,0.013505941454931891,61.3,22.8177,108.366407
整租·星湖路北二里8号小区 4室2厅 南/北,3500,青秀区-星湖-星湖路北二里8号小区,4室2厅2卫,135.0,,https://nn.zu.ke.com/zufang/NN1980146080204980224.html,3.8公里,17分钟,18分钟,2.8公里,37分钟,18.0,0.9668682183384412,0.925531914893617,0.04598589508260072,76.6,22.810384,108.342845
整租·恒大绿洲3期 2室2厅 南,1600,良庆区-大沙田-恒大绿洲3期,2室2厅1卫,82.4,南,https://nn.zu.ke.com/zufang/NN2059941919760318464.html,8.8公里,30分钟,42分钟,8.3公里,110分钟,42.0,0.9865402136999917,0.6702127659574468,0.02565935658390494,66.8,22.757367,108.341816
整租·建发五象印月 4室2厅 南/北,3500,良庆区-五象湖-建发五象印月,4室2厅2卫,133.0,,https://nn.zu.ke.com/zufang/NN1933493870037827584.html,14.4公里,43分钟,52分钟,12.2公里,162分钟,52.0,0.9668682183384412,0.5638297872340425,0.045213022896338516,62.1,22.736995,108.376435
整租·城市碧园 4室2厅 东南,2500,西乡塘区-西大-城市碧园,4室2厅2卫,124.0,东南,https://nn.zu.ke.com/zufang/NN2052328297894772736.html,7.9公里,25分钟,18分钟,4.7公里,62分钟,18.0,0.9772219001076783,0.925531914893617,0.04173509805815863,76.9,22.831001,108.289016
整租·云星钱隆首府E地块 3室2厅 南,3000,良庆区-五象核心区-云星钱隆首府E地块,3室2厅2卫,115.0,南,https://nn.zu.ke.com/zufang/NN1979162645588082688.html,9.8公里,37分钟,40分钟,9.3公里,124分钟,40.0,0.9720450592230597,0.6914893617021277,0.03825717321997875,67.3,22.77064,108.377577
整租·万科星都荟三期 4室2厅 南/北,1300,良庆区-五象湖-万科星都荟三期,4室2厅2卫,120.0,,https://nn.zu.ke.com/zufang/NN1979816278168174592.html,17.0公里,45分钟,72分钟,14.9公里,199分钟,72.0,0.9896463182307629,0.35106382978723405,0.04018935368563424,54.4,22.70885,108.37706
整租·保利明玥江山 3室2厅 南,1700,良庆区-五象文旅-保利明玥江山,3室2厅2卫,97.6,南,https://nn.zu.ke.com/zufang/NN2026346193742725120.html,14.9公里,45分钟,54分钟,14.5公里,193分钟,54.0,0.985504845523068,0.5425531914893617,0.03153318519949763,61.8,22.750862,108.416514
整租·融创九棠府二期 4室2厅 南,1800,良庆区-五象湖-融创九棠府二期,4室2厅2卫,132.0,南,https://nn.zu.ke.com/zufang/NN1582947961820676096.html,15.1公里,44分钟,62分钟,14.2公里,189分钟,62.0,0.9844694773461443,0.4574468085106383,0.04482658680320742,58.6,22.736817,108.400443
整租·荣和·千千树 3室1厅 南/北,2600,青秀区-凤岭北-荣和 - 千千树,3室1厅2卫,88.0,,https://nn.zu.ke.com/zufang/NN2020845710315880448.html,12.4公里,34分钟,48分钟,8.7公里,116分钟,48.0,0.9761865319307546,0.6063829787234043,0.02782339870543909,63.9,22.8177,108.366407
整租·宝能五象湖一号 3室2厅 南,1700,良庆区-五象湖-宝能五象湖一号,3室2厅2卫,84.0,南,https://nn.zu.ke.com/zufang/NN2051600155848736768.html,13.2公里,42分钟,49分钟,11.8公里,158分钟,49.0,0.985504845523068,0.5957446808510638,0.026277654332914693,63.8,22.744205,108.381121
整租·融创九棠府二期 4室2厅 南,1800,良庆区-五象湖-融创九棠府二期,4室2厅2卫,132.0,南,https://nn.zu.ke.com/zufang/NN1582947961820676096.html,15.1公里,44分钟,62分钟,14.2公里,189分钟,62.0,0.9844694773461443,0.4574468085106383,0.04482658680320742,58.6,22.736817,108.400443
整租·云星钱隆首府E地块 3室2厅 南,3000,良庆区-五象核心区-云星钱隆首府E地块,3室2厅2卫,115.0,南,https://nn.zu.ke.com/zufang/NN1979162645588082688.html,9.8公里,37分钟,40分钟,9.3公里,124分钟,40.0,0.9720450592230597,0.6914893617021277,0.03825717321997875,67.3,22.77064,108.377577
整租·万科星都荟三期 4室2厅 南/北,1300,良庆区-五象湖-万科星都荟三期,4室2厅2卫,120.0,,https://nn.zu.ke.com/zufang/NN1979816278168174592.html,17.0公里,45分钟,72分钟,14.9公里,199分钟,72.0,0.9896463182307629,0.35106382978723405,0.04018935368563424,54.4,22.70885,108.37706
整租·阳光100上东国际 1室0厅 南,1900,青秀区-琅东-阳光100上东国际,1室0厅0卫,69.0,南,https://nn.zu.ke.com/zufang/NN2021089339257126912.html,9.9公里,33分钟,29分钟,9.4公里,126分钟,29.0,0.9834341091692206,0.8085106382978723,0.020481112935948217,72.1,22.811386,108.407496
整租·保利明玥江山 3室2厅 南,1700,良庆区-五象文旅-保利明玥江山,3室2厅2卫,97.6,南,https://nn.zu.ke.com/zufang/NN2026346193742725120.html,14.9公里,45分钟,54分钟,14.5公里,193分钟,54.0,0.985504845523068,0.5425531914893617,0.03153318519949763,61.8,22.750862,108.416514
整租·柏涛湾小区 3室2厅 复式 南,1600,西乡塘区-北湖南-柏涛湾小区,3室2厅1卫,120.0,南,https://nn.zu.ke.com/zufang/NN2022913617472520192.html,5.1公里,25分钟,34分钟,4.7公里,62分钟,34.0,0.9865402136999917,0.7553191489361702,0.04018935368563424,70.5,22.851723,108.318246
整租·驰程天拓 2室1厅 西,1300,西乡塘区-石埠-驰程天拓,2室1厅1卫,64.0,西,https://nn.zu.ke.com/zufang/NN2053777662584815616.html,16.7公里,34分钟,30分钟,14.0公里,186分钟,30.0,0.9896463182307629,0.7978723404255319,0.018548932470292726,71.9,22.834028,108.200925
整租·空军集资楼小区 4室2厅 南/北,2200,青秀区-星湖-空军集资楼小区,4室2厅2卫,120.0,,https://nn.zu.ke.com/zufang/NN1803646253649625088.html,4.1公里,17分钟,25分钟,2.8公里,37分钟,25.0,0.9803280046384494,0.851063829787234,0.04018935368563424,74.1,22.810384,108.342845
整租·云星时代广场 1室1厅 东南,1900,良庆区-五象核心区-云星时代广场,1室1厅1卫,40.0,东南,https://nn.zu.ke.com/zufang/NN2032418927987916800.html,11.3公里,40分钟,44分钟,10.0公里,134分钟,44.0,0.9834341091692206,0.648936170212766,0.009274466235146363,65.5,22.774177,108.298602
整租·中房翡翠园二期 3室2厅 南,2700,青秀区-琅东-中房翡翠园二期,3室2厅2卫,129.0,南,https://nn.zu.ke.com/zufang/NN2055200104553381888.html,10.5公里,34分钟,35分钟,10.4公里,138分钟,35.0,0.9751511637538308,0.7446808510638298,0.04366727852381412,69.7,22.807266,108.413491
整租·金科博翠山 3室2厅 南/北,1800,良庆区-玉洞-金科博翠山,3室2厅2卫,100.0,,https://nn.zu.ke.com/zufang/NN1955288758769156096.html,13.4公里,39分钟,48分钟,13.0公里,174分钟,48.0,0.9844694773461443,0.6063829787234043,0.032460631823012266,64.3,22.729619,108.356554
整租·合景天汇广场 4室2厅 南/北,1800,良庆区-五象湖-合景天汇广场,4室2厅2卫,113.0,,https://nn.zu.ke.com/zufang/NN1964978114635235328.html,15.0公里,44分钟,40分钟,13.8公里,185分钟,40.0,0.9844694773461443,0.6914893617021277,0.03748430103371655,67.8,22.728836,108.380936
整租·金都新巢时代 1室1厅 南,1300,西乡塘区-朝阳-金都新巢时代,1室1厅1卫,50.0,南,https://nn.zu.ke.com/zufang/NN2045806445080870912.html,2.3公里,11分钟,28分钟,2.0公里,26分钟,28.0,0.9896463182307629,0.8191489361702128,0.013138827166457347,72.6,22.816452,108.30525
整租·平安家园 3室2厅 南/北,2300,青秀区-凤岭北-平安家园,3室2厅2卫,107.0,,https://nn.zu.ke.com/zufang/NN2014595757130121216.html,7.5公里,32分钟,31分钟,7.6公里,102分钟,31.0,0.9792926364615258,0.7872340425531915,0.03516568447492996,71.4,22.815993,108.387449
整租·中铁江湾山语城 4室2厅 南,1500,邕宁区-龙岗-中铁江湾山语城,4室2厅2卫,90.0,南,https://nn.zu.ke.com/zufang/NN2023688325520424960.html,18.8公里,40分钟,76分钟,17.3公里,231分钟,76.0,0.9875755818769154,0.30851063829787234,0.028596270891701286,52.4,22.783117,108.456964
整租·保利领秀前城领秀府 4室2厅 南,2500,青秀区-凤岭南-保利领秀前城领秀府,4室2厅2卫,92.0,南,https://nn.zu.ke.com/zufang/NN2022685900323946496.html,14.7公里,44分钟,57分钟,13.0公里,173分钟,57.0,0.9772219001076783,0.5106382978723404,0.029369143077963483,60.1,22.788961,108.423034
整租·云星城 1室1厅 南,2000,青秀区-星湖-云星城,1室1厅1卫,43.43,南,https://nn.zu.ke.com/zufang/NN2043978922890100736.html,2.1公里,10分钟,11分钟,2.0公里,27分钟,11.0,0.9823987409922968,1.0,0.01059994203458603,79.5,22.81456,108.336785
整租·华银阁 2室1厅 南,3500,青秀区-东葛路-华银阁,2室1厅1卫,133.0,南,https://nn.zu.ke.com/zufang/NN1604434017053048832.html,2.0公里,7分钟,12分钟,1.6公里,21分钟,12.0,0.9668682183384412,0.9893617021276596,0.045213022896338516,79.2,22.814048,108.335117
整租·嘉和自由空间 1室0厅 南,1400,青秀区-东葛路-嘉和自由空间,1室0厅1卫,48.0,南,https://nn.zu.ke.com/zufang/NN1615927041109000192.html,2.3公里,9分钟,18分钟,1.5公里,20分钟,18.0,0.9886109500538391,0.925531914893617,0.012365954980195151,76.8,22.81569,108.334748
整租·广西民族宫 2室1厅 东,6800,青秀区-东葛路-广西民族宫,2室1厅0卫,168.7,东,https://nn.zu.ke.com/zufang/NN1610159254721789952.html,1.7公里,7分钟,11分钟,1.6公里,22分钟,11.0,0.9327010684999586,1.0,0.05900879142111873,78.5,22.813797,108.334869
整租·亚航财富中心 1室1厅 北,3200,青秀区-金湖-亚航财富中心,1室1厅1卫,67.42,北,https://nn.zu.ke.com/zufang/NN1596382455080681472.html,5.3公里,25分钟,22分钟,5.4公里,72分钟,22.0,0.9699743228692123,0.8829787234042553,0.019870543908801084,74.5,22.814222,108.369055
整租·印象·愉景湾 3室2厅 南,800,良庆区-五象湖-印象 - 愉景湾,3室2厅1卫,85.0,南,https://nn.zu.ke.com/zufang/NN1592892476077637632.html,20.9公里,48分钟,79分钟,19.6公里,261分钟,79.0,0.9948231591153814,0.2765957446808511,0.026664090426045794,51.4,22.682391,108.398902
整租·亚航财富中心 1室1厅 北,2900,青秀区-金湖-亚航财富中心,1室1厅1卫,58.81,北,https://nn.zu.ke.com/zufang/NN1596381119782060032.html,5.3公里,25分钟,22分钟,5.4公里,72分钟,22.0,0.9730804273999835,0.8829787234042553,0.016543329146942325,74.6,22.814222,108.369055
整租·农行宿舍 3室2厅 南,2000,青秀区-星湖-农行宿舍,3室2厅1卫,120.0,南,https://nn.zu.ke.com/zufang/NN2868662225323687936.html,4.1公里,17分钟,25分钟,2.8公里,37分钟,25.0,0.9823987409922968,0.851063829787234,0.04018935368563424,74.1,22.807401,108.339848
整租·利海亚洲国际 1室1厅 南,1800,青秀区-东盟商务区-利海亚洲国际,1室1厅1卫,54.0,南,https://nn.zu.ke.com/zufang/NN1570273900338610176.html,8.7公里,44分钟,31分钟,8.6公里,114分钟,31.0,0.9844694773461443,0.7872340425531915,0.014684571538981742,71.2,22.808504,108.396643
整租·大唐盛世观湖 4室2厅 南/北,1500,邕宁区-龙岗-大唐盛世观湖,4室2厅2卫,117.0,,https://nn.zu.ke.com/zufang/NN1569271924968652800.html,20.4公里,45分钟,87分钟,19.8公里,264分钟,87.0,0.9875755818769154,0.19148936170212766,0.03903004540624094,47.9,22.768928,108.478524
整租·广西民族宫 1室1厅 东南,1800,青秀区-东葛路-广西民族宫,1室1厅0卫,45.0,东南,https://nn.zu.ke.com/zufang/NN2873997451927764992.html,1.7公里,7分钟,11分钟,1.6公里,22分钟,11.0,0.9844694773461443,1.0,0.011206646700801855,79.6,22.815167,108.334668
整租·融创九棠府二期 4室2厅 南,2000,良庆区-五象湖-融创九棠府二期,4室2厅2卫,131.0,南,https://nn.zu.ke.com/zufang/NN2900020447724969984.html,15.1公里,44分钟,62分钟,14.2公里,189分钟,62.0,0.9823987409922968,0.4574468085106383,0.04444015071007632,58.5,22.736817,108.400443
整租·广西路桥总公司一分公司五一路生活区 3室1厅 南,1100,江南区-五一路-广西路桥总公司一分公司五一路生活区,3室1厅1卫,75.0,南,https://nn.zu.ke.com/zufang/NN2891370395552710656.html,7.5公里,19分钟,30分钟,6.0公里,80分钟,30.0,0.9917170545846102,0.7978723404255319,0.02279972949473481,72.0,22.803596,108.275361
